text;canonical_form_1;canonical_form_2;canonical_form_3;category_1;category_2;category_3;severity_rating;severity_description
nutsacks;nutsack;;;sexual anatomy / sexual acts;;;1.6;Strong
p3n1shead;penis;;;sexual anatomy / sexual acts;;;1.8;Strong
p3nisfcker;penis;fuck;;sexual anatomy / sexual acts;sexual orientation / gender;;3;Severe
p3nisfcukers;fuck;penis;;sexual anatomy / sexual acts;sexual orientation / gender;;2.8;Severe
penishead;penis;;;sexual anatomy / sexual acts;;;1.4;Mild
peter;peter puffer;;;sexual anatomy / sexual acts;;;1;Mild
p3nisfvcker;penis;fuck;;sexual anatomy / sexual acts;sexual orientation / gender;;2.8;Severe
p3nisfvckers;penis;fuck;;sexual anatomy / sexual acts;sexual orientation / gender;;2.8;Severe
pack my fudge;fudge packer;;;sexual anatomy / sexual acts;bodily fluids / excrement;;2;Strong
packerfudgehead;fudge packer;;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.2;Strong
packing fudge;fudge packer;;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.4;Strong
packingfudge;fudge packer;;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.4;Strong
packingfudgefucker;fudge packer;fuck;;sexual anatomy / sexual acts;sexual orientation / gender;bodily fluids / excrement;2.8;Severe
packingfudgefucking;fudge packer;fuck;;sexual anatomy / sexual acts;sexual orientation / gender;bodily fluids / excrement;2.4;Strong
packsomefudgefucker;fudge packer;fuck;;sexual anatomy / sexual acts;sexual orientation / gender;bodily fluids / excrement;2.4;Strong
peckerhead;pecker;;;sexual anatomy / sexual acts;;;1.6;Strong
pedo;pedophile;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
pedophl;pedophile;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
pedoz;pedophile;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
penisfcker;penis;fuck;;sexual anatomy / sexual acts;sexual orientation / gender;;3;Severe
penisfuccer;penis;fuck;;sexual anatomy / sexual acts;sexual orientation / gender;;2.8;Severe
penisfucker;fuck;penis;;sexual anatomy / sexual acts;;;3;Severe
penisfuckers;fuck;penis;;sexual anatomy / sexual acts;sexual orientation / gender;;3;Severe
penisfvcker;penis;fuck;;sexual anatomy / sexual acts;sexual orientation / gender;;3;Severe
penisfvckers;penis;fuck;;sexual anatomy / sexual acts;sexual orientation / gender;;2.8;Severe
phuc;fuck;;;sexual anatomy / sexual acts;;;2;Strong
phucc;fuck;;;sexual anatomy / sexual acts;;;2;Strong
phuccer;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
phucchead;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
phuccing;fuck;;;sexual anatomy / sexual acts;other / general insult;;1.8;Strong
phuck;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
phuck3r;fuck;;;sexual anatomy / sexual acts;other / general insult;;1.8;Strong
phucked;fuck;;;sexual anatomy / sexual acts;;;2;Strong
phucker;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
phuckin;fuck;;;sexual anatomy / sexual acts;;;2;Strong
phucking;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
phuckings;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
phucks;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
phucup;fuck;;;sexual anatomy / sexual acts;;;1.8;Strong
phuk;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
phuked;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
phukeds;fuck;;;sexual anatomy / sexual acts;;;2;Strong
phukhead;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
phuking;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
phukings;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
phukk;fuck;;;sexual anatomy / sexual acts;other / general insult;;1.8;Strong
phukked;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
phukkeds;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
phukker;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
Phukking;fuck;;;sexual anatomy / sexual acts;other / general insult;;1.8;Strong
pigshit;shit;pig;;bodily fluids / excrement;animal references;;1.4;Mild
phuks;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
phukshit;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.2;Strong
piss face;piss;;;bodily fluids / excrement;;;1.4;Mild
phuku;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
piss shit;piss;shit;;bodily fluids / excrement;;;1.4;Mild
pissoff;piss;;;bodily fluids / excrement;;;1.2;Mild
pissoffs;piss;;;bodily fluids / excrement;other / general insult;;1.4;Mild
phukup;fuck;;;sexual anatomy / sexual acts;other / general insult;;1.8;Strong
phuq;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
phuqs;fuck;;;sexual anatomy / sexual acts;other / general insult;;1.8;Strong
phvckings;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
pig fucker;fuck;pig;;sexual anatomy / sexual acts;animal references;;2.8;Severe
prick;prick;;;sexual anatomy / sexual acts;;;1;Mild
prick-face;prick;;;sexual anatomy / sexual acts;;;1.2;Mild
pigfucker;fuck;pig;;sexual anatomy / sexual acts;animal references;;2.6;Severe
pigfuckers;fuck;pig;;sexual anatomy / sexual acts;animal references;;3;Severe
pricks;prick;;;sexual anatomy / sexual acts;;;1;Mild
pigfucking;fuck;pig;;sexual anatomy / sexual acts;animal references;;2.6;Severe
pigfukker;fuck;pig;;sexual anatomy / sexual acts;animal references;;2.8;Severe
pull the pud;pull the pud;;;sexual anatomy / sexual acts;;;1.2;Mild
piggyfuck;fuck;pig;;sexual anatomy / sexual acts;animal references;;3;Severe
pillow biter;pillow biter;;;sexual anatomy / sexual acts;;;2.4;Strong
punkasses;ass;;;other / general insult;;;1.2;Mild
puss;pussy;;;sexual anatomy / sexual acts;;;1.4;Mild
pusses;pussy;;;sexual anatomy / sexual acts;;;1.4;Mild
piss off fuckhead;fuck;;;sexual anatomy / sexual acts;bodily fluids / excrement;;3;Severe
pussies;pussy;;;sexual anatomy / sexual acts;sexual orientation / gender;;1;Mild
pole licker;pole licker;;;sexual anatomy / sexual acts;;;2.2;Strong
pole smoker;pole smoker;;;sexual anatomy / sexual acts;;;2;Strong
pussy;pussy;;;sexual anatomy / sexual acts;;;1.4;Mild
pussy cat;pussy;;;sexual anatomy / sexual acts;;;1.4;Mild
pole sucker;pole sucker;;;sexual anatomy / sexual acts;;;1.8;Strong
polesmoker;polesmoker;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.2;Strong
prick-gobbler;prick;;;sexual anatomy / sexual acts;;;2.2;Strong
prick-head;prick;;;sexual anatomy / sexual acts;;;1.8;Strong
pu$sy;pussy;;;sexual anatomy / sexual acts;;;1.6;Strong
pu55y;pussy;;;sexual anatomy / sexual acts;;;1.6;Strong
punani;punani;;;sexual anatomy / sexual acts;;;1.8;Strong
punk ass mofoes;motherfucker;ass;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
puussy;pussy;;;sexual anatomy / sexual acts;;;1.4;Mild
puzzies;pussy;;;sexual anatomy / sexual acts;;;1.4;Mild
puzzy;pussy;;;sexual anatomy / sexual acts;;;1.2;Mild
pussie;pussy;;;sexual anatomy / sexual acts;;;2;Strong
pussless;pussy;;;sexual anatomy / sexual acts;;;2;Strong
pusslicker;pussy;;;sexual anatomy / sexual acts;;;2.2;Strong
pussy fucker;fuck;;;sexual anatomy / sexual acts;;;2.8;Severe
pussy lick;pussy;;;sexual anatomy / sexual acts;;;2.4;Strong
pussy licker;pussy;;;sexual anatomy / sexual acts;;;2.4;Strong
pussy licking;pussy;;;sexual anatomy / sexual acts;;;2.4;Strong
pussylickers;pussy;;;sexual anatomy / sexual acts;;;2.8;Severe
ramrod;ramrod;;;sexual anatomy / sexual acts;;;1;Mild
pussys;pussy;;;sexual anatomy / sexual acts;;;2;Strong
pussywhipped;pussy;;;sexual anatomy / sexual acts;;;1.8;Strong
reacharound;reacharound;;;sexual anatomy / sexual acts;;;1.2;Mild
rectum;rectum;;;sexual anatomy / sexual acts;;;1;Mild
rim job;rim job;;;sexual anatomy / sexual acts;;;2;Strong
salad tosser;salad tosser;;;sexual anatomy / sexual acts;;;2;Strong
sausage jockey;sausage jockey;;;sexual anatomy / sexual acts;;;2.6;Severe
scamfuck;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
scumfuck;fuck;scum;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
scumfucker;fuck;scum;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
s_h_i_;shit;;;bodily fluids / excrement;;;1.2;Mild
s_h_i_s;shit;;;bodily fluids / excrement;;;1;Mild
scumfvck;fuck;scum;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
s.o.b.;bitch;;;other / general insult;sexual orientation / gender;;1.2;Mild
sh1tdick;shit;dick;;sexual anatomy / sexual acts;;;2.4;Strong
s/h/i/t;shit;;;bodily fluids / excrement;;;1;Mild
S&M;sadomasochism;;;sexual anatomy / sexual acts;;;1;Mild
sack;ballsack;;;sexual anatomy / sexual acts;;;1;Mild
shiddick;shit;dick;;sexual anatomy / sexual acts;bodily fluids / excrement;;2;Strong
shiesterfuck;fuck;shit;;sexual anatomy / sexual acts;racial / ethnic slurs;;2.2;Strong
shiesterfuckface;fuck;shit;;sexual anatomy / sexual acts;racial / ethnic slurs;;2.8;Severe
shiesterfuckhead;fuck;shit;;sexual anatomy / sexual acts;racial / ethnic slurs;;2.2;Strong
shiesterfucks;fuck;shit;;sexual anatomy / sexual acts;racial / ethnic slurs;;2.4;Strong
schlong;schlong;;;sexual anatomy / sexual acts;;;1;Mild
shit fucker;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.8;Severe
shit-arse;shit;arse;;sexual anatomy / sexual acts;;;1.6;Strong
shit-fucker;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.6;Severe
scummy;scum;;;other / general insult;;;1.2;Mild
scut;scut;;;other / general insult;;;1;Mild
sh! +;shit;;;bodily fluids / excrement;;;1.2;Mild
sh!+;shit;;;bodily fluids / excrement;;;1;Mild
sh1s;shit;;;bodily fluids / excrement;;;1;Mild
sh1t;shit;;;bodily fluids / excrement;;;1.2;Mild
sh1t3;shit;;;bodily fluids / excrement;;;1;Mild
shit-stuffers;shit;;;sexual anatomy / sexual acts;bodily fluids / excrement;;1.8;Strong
shitass;shit;ass;;sexual anatomy / sexual acts;bodily fluids / excrement;;2;Strong
sh1te;shit;;;bodily fluids / excrement;;;1;Mild
shitasses;shit;ass;;sexual anatomy / sexual acts;bodily fluids / excrement;;2;Strong
shitassfucker;fuck;shit;ass;sexual anatomy / sexual acts;bodily fluids / excrement;;2.6;Severe
shitassfuckface;fuck;shit;ass;sexual anatomy / sexual acts;bodily fluids / excrement;other / general insult;2.8;Severe
sh1ts;shit;;;bodily fluids / excrement;;;1;Mild
sh1tsome;shit;;;bodily fluids / excrement;;;1.2;Mild
sh1tt;shit;;;bodily fluids / excrement;;;1;Mild
sh1tty;shit;;;bodily fluids / excrement;;;1.2;Mild
shitd1ck;shit;dick;;sexual anatomy / sexual acts;bodily fluids / excrement;;2;Strong
shitdick;shit;dick;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.4;Strong
shat;shit;;;bodily fluids / excrement;;;1.2;Mild
shitdicks;shit;dick;;sexual anatomy / sexual acts;bodily fluids / excrement;;2;Strong
sheeeet;shit;;;bodily fluids / excrement;;;1;Mild
sheet;shit;;;bodily fluids / excrement;;;1;Mild
shitedick;shit;dick;;sexual anatomy / sexual acts;;;2;Strong
shitefuck;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;1.6;Strong
shitfacefuck;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.8;Severe
shitfacefucker;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.6;Severe
shet;shit;;;bodily fluids / excrement;;;1;Mild
shi+;shit;;;bodily fluids / excrement;;;1;Mild
shi+e;shit;;;bodily fluids / excrement;;;1;Mild
shi+y;shit;;;bodily fluids / excrement;;;1;Mild
shiat;shit;;;bodily fluids / excrement;;;1;Mild
shitfck;shit;fuck;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.4;Strong
shitfk;shit;fuck;;sexual anatomy / sexual acts;bodily fluids / excrement;;1.8;Strong
shitfuck;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.2;Strong
shitfucker;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.4;Strong
shitfuckmotherfucker;motherfucker;shit;fuck;sexual anatomy / sexual acts;bodily fluids / excrement;other / general insult;2.8;Severe
shitfucks;fuck;shit;;sexual anatomy / sexual acts;;;2.4;Strong
shipdit;shit;;;bodily fluids / excrement;;;1.4;Mild
shit;shit;;;bodily fluids / excrement;;;1.2;Mild
shitfvck;shit;fuck;;sexual anatomy / sexual acts;bodily fluids / excrement;other / general insult;2.2;Strong
shitheadfucker;fuck;shit;;sexual anatomy / sexual acts;;;2.8;Severe
shitheadfuckface;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;other / general insult;2.4;Strong
shithole;shit;;;sexual anatomy / sexual acts;bodily fluids / excrement;;1.8;Strong
shitsdick;shit;dick;;sexual anatomy / sexual acts;bodily fluids / excrement;;1.8;Strong
shitsfuck;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.2;Strong
shitterfucker;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;other / general insult;2.6;Severe
shittydicks;shit;dick;;sexual anatomy / sexual acts;bodily fluids / excrement;;2;Strong
shittyfuck;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;1.8;Strong
shittyfuckface;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;other / general insult;2.2;Strong
shytfeisterfuck;fuck;;;sexual anatomy / sexual acts;;;2.6;Severe
slut hole;slut;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.4;Strong
shit3;shit;;;bodily fluids / excrement;;;1;Mild
snatch licker;snatch;;;sexual anatomy / sexual acts;;;2.8;Severe
soppy bollucks;bollocks;;;sexual anatomy / sexual acts;;;1.6;Strong
spicfuck;fuck;spic;;sexual anatomy / sexual acts;racial / ethnic slurs;;3;Severe
stfu;fuck;;;sexual anatomy / sexual acts;other / general insult;;1.8;Strong
stupid fucker;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
suck my cock;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
suck my d;dick;;;sexual anatomy / sexual acts;;;1.8;Strong
suck my dick;dick;;;sexual anatomy / sexual acts;;;2.2;Strong
suck off;suck;;;sexual anatomy / sexual acts;;;1.8;Strong
swine fucker;fuck;swine;;sexual anatomy / sexual acts;animal references;;2.8;Severe
tard asses;ass;;;sexual anatomy / sexual acts;mental disability;;3;Severe
throater;throater;;;sexual anatomy / sexual acts;;;2.4;Strong
tongue fucker;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
tongue fucking;fuck;;;sexual anatomy / sexual acts;;;2.8;Severe
shite;shit;;;bodily fluids / excrement;;;1;Mild
tossing salad;tossing salad;;;sexual anatomy / sexual acts;;;1.8;Strong
shited;shit;;;bodily fluids / excrement;;;1.2;Mild
tw@t;twat;;;sexual anatomy / sexual acts;sexual orientation / gender;;1.8;Strong
twat;twat;;;sexual anatomy / sexual acts;sexual orientation / gender;;1.8;Strong
twat waffle;twat;;;sexual anatomy / sexual acts;sexual orientation / gender;;2;Strong
twatface;twat;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.4;Strong
shites;shit;;;bodily fluids / excrement;;;1;Mild
shitey;shit;;;bodily fluids / excrement;;;1.2;Mild
twats;twat;;;sexual anatomy / sexual acts;sexual orientation / gender;;1.6;Strong
shitfaced;shit;;;bodily fluids / excrement;physical attributes;;1.2;Mild
twatt;twat;;;sexual anatomy / sexual acts;sexual orientation / gender;;1.6;Strong
twattish;twat;;;sexual anatomy / sexual acts;sexual orientation / gender;;1.6;Strong
twatzilla;twat;;;sexual anatomy / sexual acts;sexual orientation / gender;;2;Strong
useless fucker;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
w4nk3r;wank;;;sexual anatomy / sexual acts;other / general insult;;1.6;Strong
wang wrangler;wang;;;sexual anatomy / sexual acts;;;2;Strong
wankbastard;wank;bastard;;sexual anatomy / sexual acts;;;1.8;Strong
wankies;wank;;;sexual anatomy / sexual acts;;;1.6;Strong
willy-whacker;willy-whacker;;;sexual anatomy / sexual acts;;;1.8;Strong
5kank;skank;;;sexual orientation / gender;;;2;Strong
arse-bandit;arse;;;sexual orientation / gender;;;2;Strong
bender;bender;;;sexual orientation / gender;;;1.6;Strong
bitchass;bitch;ass;;sexual orientation / gender;other / general insult;;1.6;Strong
bitches;bitch;;;sexual orientation / gender;;;1.6;Strong
bitchness;bitch;;;sexual orientation / gender;;;1.6;Strong
bizzach;bitch;;;sexual orientation / gender;;;1.6;Strong
bum-bandits;bum;;;sexual orientation / gender;;;1.8;Strong
shits;shit;;;bodily fluids / excrement;;;1;Mild
butt pirate;butt;;;sexual orientation / gender;;;2.2;Strong
c*nts;cunt;;;sexual orientation / gender;;;2.8;Severe
shitsful;shit;;;bodily fluids / excrement;;;1;Mild
shittastic;shit;;;bodily fluids / excrement;;;1.2;Mild
carpetmunchers;carpet muncher;;;sexual orientation / gender;;;2.2;Strong
shitte;shit;;;bodily fluids / excrement;;;1;Mild
shitted;shit;;;bodily fluids / excrement;;;1.2;Mild
shitter;shit;;;bodily fluids / excrement;;;1;Mild
closet fuckhead;fuck;;;sexual orientation / gender;;;2.8;Severe
shitti;shit;;;bodily fluids / excrement;;;1;Mild
shitties;shit;;;bodily fluids / excrement;;;1;Mild
shittiest;shit;;;bodily fluids / excrement;;;1.2;Mild
shitting;shit;;;bodily fluids / excrement;;;1.4;Mild
shittings;shit;;;bodily fluids / excrement;;;1.2;Mild
shitty;shit;;;bodily fluids / excrement;;;1;Mild
dyke;dyke;;;sexual orientation / gender;;;2.8;Severe
f@g;faggot;;;sexual orientation / gender;;;2.8;Severe
f@gg0t;faggot;;;sexual orientation / gender;;;3;Severe
f@gging;faggot;;;sexual orientation / gender;;;2.8;Severe
f@ggot;faggot;;;sexual orientation / gender;;;3;Severe
f@gs;faggot;;;sexual orientation / gender;;;3;Severe
shlong;shlong;;;sexual anatomy / sexual acts;;;1;Mild
shmale;shemale;;;sexual orientation / gender;;;1.4;Mild
f@gshit;shit;fag;;sexual orientation / gender;;;2.8;Severe
fag;faggot;;;sexual orientation / gender;;;2.8;Severe
fag asses;faggot;ass;;sexual orientation / gender;;;2.8;Severe
fag bag;faggot;;;sexual orientation / gender;;;2.8;Severe
sissy;sissy;;;sexual orientation / gender;;;1;Mild
sixty-nine;69;;;sexual anatomy / sexual acts;;;1.2;Mild
fag hag;faggot;hag;;sexual orientation / gender;;;2.6;Severe
sk@nky;skank;;;sexual orientation / gender;;;1;Mild
sk@nkz;skank;;;sexual orientation / gender;;;1.4;Mild
fag queen;faggot;;;sexual orientation / gender;;;2.8;Severe
skanks;skank;;;sexual orientation / gender;;;1.2;Mild
skanky;skank;;;sexual orientation / gender;;;1.4;Mild
fag0t;faggot;;;sexual orientation / gender;;;3;Severe
faget;faggot;;;sexual orientation / gender;;;3;Severe
fagg0t;faggot;;;sexual orientation / gender;;;3;Severe
fagging;faggot;;;sexual orientation / gender;;;3;Severe
faggo;faggot;;;sexual orientation / gender;;;2.8;Severe
faggot;faggot;;;sexual orientation / gender;;;2.8;Severe
faggot nobjockies;faggot;knob;;sexual orientation / gender;sexual anatomy / sexual acts;;3;Severe
faggot son-of-a-bitch;faggot;bitch;;sexual orientation / gender;other / general insult;;3;Severe
faggoting;faggot;;;sexual orientation / gender;;;3;Severe
faggots;faggot;;;sexual orientation / gender;;;3;Severe
faggs;faggot;;;sexual orientation / gender;;;3;Severe
faggy;faggot;;;sexual orientation / gender;;;3;Severe
fagot;faggot;;;sexual orientation / gender;;;2.8;Severe
fags;faggot;;;sexual orientation / gender;;;3;Severe
feg;faggot;;;sexual orientation / gender;;;2.4;Strong
snatch;snatch;;;sexual anatomy / sexual acts;;;1;Mild
flamer;flamer;;;sexual orientation / gender;;;2;Strong
flamers;flamer;;;sexual orientation / gender;;;2.8;Severe
fudgepacker;fudge packer;;;sexual orientation / gender;;;2.4;Strong
son of a bitch;bitch;;;other / general insult;sexual orientation / gender;;1.2;Mild
son-of-a-bitch;bitch;;;sexual orientation / gender;other / general insult;;1.2;Mild
sonna bitch;bitch;;;sexual orientation / gender;other / general insult;;1.2;Mild
sonofabitch;bitch;;;other / general insult;sexual orientation / gender;;1.4;Mild
sonofbitches;bitch;;;sexual orientation / gender;other / general insult;;1;Mild
g@y b1tch;bitch;gay;;sexual orientation / gender;;;2.6;Severe
g@ylord;gay;;;sexual orientation / gender;;;1.8;Strong
sons-of-bitches;bitch;;;other / general insult;sexual orientation / gender;;1.4;Mild
g@yshit;shit;gay;;sexual orientation / gender;;;2.6;Severe
gay bitch;gay;bitch;;sexual orientation / gender;;;2.6;Severe
spanking;spank;;;sexual anatomy / sexual acts;;;1;Mild
sperm;sperm;;;bodily fluids / excrement;;;1;Mild
sphincter;sphincter;;;sexual anatomy / sexual acts;;;1;Mild
gay fuck;fuck;gay;;sexual orientation / gender;other / general insult;;2.6;Severe
gay wad;gay;;;sexual orientation / gender;;;2;Strong
gaylord;gay;;;sexual orientation / gender;;;1.6;Strong
gaylords;gay;;;sexual orientation / gender;;;2.2;Strong
gaysian;gay;;;sexual orientation / gender;;;2.6;Severe
gaytard;gay;retard;;sexual orientation / gender;mental disability;;2.8;Severe
geebag;garbage bag;;;sexual orientation / gender;;;1.8;Strong
hoar;whore;;;sexual orientation / gender;;;1.8;Strong
hoe;hoe;;;sexual orientation / gender;;;2;Strong
hoe-asses;hoe;ass;;sexual orientation / gender;sexual anatomy / sexual acts;;2.2;Strong
spunk;spunk;;;bodily fluids / excrement;;;1.2;Mild
hoebag;hoe;;;sexual orientation / gender;;;2;Strong
stump chewer;stump chewer;;;sexual anatomy / sexual acts;;;1.4;Mild
hoes;hoe;;;sexual orientation / gender;;;2;Strong
homo;homosexual;;;sexual orientation / gender;;;2.2;Strong
stupidasses;ass;;;sexual anatomy / sexual acts;mental disability;;1;Mild
suck;suck;;;sexual anatomy / sexual acts;;;1;Mild
homos;homosexual;;;sexual orientation / gender;;;2.2;Strong
knobjokey;knob;;;sexual orientation / gender;;;2.6;Severe
l@dyb0i;ladyboy;;;sexual orientation / gender;;;2.2;Strong
l@dyb0y;ladyboy;;;sexual orientation / gender;;;2;Strong
sum of a bitch;bitch;;;other / general insult;sexual orientation / gender;;1.4;Mild
l@dyboy;ladyboy;;;sexual orientation / gender;;;2;Strong
swine;swine;;;animal references;;;1;Mild
ladiboy;ladyboy;;;sexual orientation / gender;;;2.2;Strong
lady-boy;ladyboy;;;sexual orientation / gender;;;2.6;Severe
tadger;tadger;;;sexual anatomy / sexual acts;;;1.4;Mild
taking the piss;taking the piss;;;bodily fluids / excrement;;;1;Mild
tallywacker;tallywacker;;;sexual anatomy / sexual acts;;;1.2;Mild
ladyb0i;ladyboy;;;sexual orientation / gender;;;2.2;Strong
ladyb0y;ladyboy;;;sexual orientation / gender;;;2.4;Strong
ladyboy;ladyboy;;;sexual orientation / gender;;;2.2;Strong
tart;tart;;;mental disability;sexual anatomy / sexual acts;sexual orientation / gender;1.2;Mild
ladyboys;ladyboy;;;sexual orientation / gender;;;2.4;Strong
lesbo;lesbian;;;sexual orientation / gender;;;2.2;Strong
tickle the pickle;tickle the pickle;;;sexual anatomy / sexual acts;;;1.2;Mild
mecha fag;faggot;;;sexual orientation / gender;;;3;Severe
tits;tit;;;sexual anatomy / sexual acts;;;1;Mild
mega fag;faggot;;;sexual orientation / gender;;;2.8;Severe
nobjokeys;knob;;;sexual orientation / gender;;;1.8;Strong
tosser;tosser;;;other / general insult;;;1.2;Mild
pedobear;pedophile;;;sexual orientation / gender;;;2;Strong
peter puffer;peter puffer;;;sexual orientation / gender;sexual anatomy / sexual acts;;1.8;Strong
ph@ggots;faggot;;;sexual orientation / gender;;;2.8;Severe
phaggot;faggot;;;sexual orientation / gender;;;2.8;Severe
phaggots;faggot;;;sexual orientation / gender;;;3;Severe
phagot;faggot;;;sexual orientation / gender;;;3;Severe
phags;faggot;;;sexual orientation / gender;;;3;Severe
pillow-biter;pillow biter;;;sexual orientation / gender;;;1.6;Strong
puta;punta;;;sexual orientation / gender;;;1.8;Strong
trashbitches;bitch;trash;;sexual orientation / gender;;;1.4;Mild
trashbitchez;bitch;trash;;sexual orientation / gender;;;1.2;Mild
trashbtch;bitch;trash;;sexual orientation / gender;;;1.4;Mild
trasherbitch;bitch;trash;;sexual orientation / gender;other / general insult;;1.4;Mild
trasherbitchs;bitch;trash;;sexual orientation / gender;;;1.2;Mild
queerasses;queer;ass;;sexual orientation / gender;;;3;Severe
trouser snake;trouser snake;;;sexual anatomy / sexual acts;;;1;Mild
trousersnake;trousersnake;;;sexual anatomy / sexual acts;;;1.4;Mild
queers;queer;;;sexual orientation / gender;;;1.8;Strong
s-lut;slut;;;sexual orientation / gender;;;1.8;Strong
sh3mal3;shemale;;;sexual orientation / gender;;;2.6;Severe
twa+;twat;;;sexual anatomy / sexual acts;sexual orientation / gender;;1.2;Mild
sh3male;shemale;;;sexual orientation / gender;;;2.4;Strong
she-male;shemale;;;sexual orientation / gender;;;2.8;Severe
shemal3;shemale;;;sexual orientation / gender;;;1.8;Strong
shemale;shemale;;;sexual orientation / gender;;;2.6;Severe
shemales;shemale;;;sexual orientation / gender;;;1.8;Strong
sk@nks;skank;;;sexual orientation / gender;;;1.6;Strong
skank;skank;;;sexual orientation / gender;;;1.8;Strong
twink;twink;;;sexual orientation / gender;;;1.2;Mild
upskirts;upskirt;;;sexual anatomy / sexual acts;;;1.4;Mild
skankz;skank;;;sexual orientation / gender;;;1.6;Strong
vag;vagina;;;sexual anatomy / sexual acts;;;1.2;Mild
vajayjay;vagina;;;sexual anatomy / sexual acts;;;1.2;Mild
vulva;vulva;;;sexual anatomy / sexual acts;;;1;Mild
w@nker;wank;;;sexual anatomy / sexual acts;other / general insult;;1.2;Mild
w@nkers;wank;;;sexual anatomy / sexual acts;other / general insult;;1;Mild
slag;slag;;;sexual orientation / gender;;;1.6;Strong
w4nker;wank;;;sexual anatomy / sexual acts;other / general insult;;1;Mild
wang;wang;;;sexual anatomy / sexual acts;;;1.4;Mild
slit;slit;;;sexual orientation / gender;;;1.6;Strong
wank;wank;;;sexual anatomy / sexual acts;other / general insult;;1;Mild
wank off;wank;;;sexual anatomy / sexual acts;;;1;Mild
wank3r;wank;;;sexual anatomy / sexual acts;other / general insult;;1;Mild
wank3rs;wank;;;sexual anatomy / sexual acts;other / general insult;;1;Mild
slut;slut;;;sexual orientation / gender;;;2;Strong
wanked;wank;;;sexual anatomy / sexual acts;;;1.2;Mild
wanker;wank;;;sexual anatomy / sexual acts;other / general insult;;1;Mild
wankers;wank;;;sexual anatomy / sexual acts;other / general insult;;1;Mild
sluts;slut;;;sexual orientation / gender;;;1.6;Strong
wanking;wank;;;sexual anatomy / sexual acts;;;1;Mild
wanks;wank;;;sexual anatomy / sexual acts;;;1;Mild
slutty;slut;;;sexual orientation / gender;;;1.8;Strong
weenie;weenie;;;sexual anatomy / sexual acts;;;1;Mild
weiner;weiner;;;sexual anatomy / sexual acts;;;1;Mild
son o bitch;bitch;;;sexual orientation / gender;;;1.6;Strong
